,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1175,CHEMBL231633,3110.0,nM,Cc1ccc(NC(=O)c2ccc(CN(C)CCCl)cc2)cc1Nc1nccc(-c2cccnc2)n1,5.507239610973162,486.19348716400015,6,2,5.513520000000005,True
1176,CHEMBL2408505,3160.0,nM,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)NCc1ccccc1,5.500312917381596,401.12632270800003,5,2,3.860800000000002,True
1177,CHEMBL2312646,3170.0,nM,CN1CCC(NC(=O)c2cnc(NCc3cc(Cl)ccc3Cl)nc2NC2CCCC2)CC1,5.498940737782249,476.18581494,6,3,4.574000000000003,True
1178,CHEMBL1242115,3200.0,nM,CC(C)n1nc(-c2cccc(C(=O)NC3=NCCS3)c2)c2c(N)ncnc21,5.494850021680094,381.1371792280001,8,2,2.489,True
1179,CHEMBL3347277,3206.0,nM,COC(=O)c1cc2cc(NC(=O)c3ccc4[nH]ccc4c3)cnc2[nH]1,5.494036481981874,334.1065903080001,4,3,3.083100000000001,True
1180,CHEMBL291963,3300.0,nM,c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,5.481486060122112,314.127994448,6,1,3.4679,True
1181,CHEMBL565612,3300.0,nM,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,5.481486060122112,438.180423944,6,2,2.4301000000000004,True
1182,CHEMBL606245,3400.0,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC[C@@H](N)C2)ccc2[nH]ccc12,5.468521082957745,400.23754489600003,5,3,4.313000000000002,True
1183,CHEMBL573578,3400.0,nM,CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21,5.468521082957745,331.1796956720001,5,1,3.9075000000000024,True
1184,CHEMBL120979,3400.0,nM,COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,5.468521082957745,366.09958678,6,3,4.502100000000002,True
1185,CHEMBL1241680,3400.0,nM,CC(C)n1nc(-c2ccc(F)c(C#N)c2)c2c(N)ncnc21,5.468521082957745,296.118572636,6,1,2.66718,True
1186,CHEMBL3215571,3440.0,nM,COCCN1CCN(CCO/N=C2C(=C3/C(=O)Nc4cc(Br)ccc43)/Nc3ccccc3/2)CC1.Cl.Cl,5.46344155742847,597.0909072800001,7,2,4.0663000000000045,True
1187,CHEMBL123189,3500.0,nM,COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,5.455931955649724,380.115236844,6,3,4.370600000000002,True
1188,CHEMBL1242847,3600.0,nM,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,5.443697499232712,283.143310164,6,1,2.665,True
1189,CHEMBL1241674,3600.0,nM,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,5.443697499232712,308.138559132,6,3,2.8432999999999993,True
1190,CHEMBL332906,3600.0,nM,Nc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,5.443697499232712,336.089022096,5,3,3.999100000000001,True
1192,CHEMBL119977,3760.0,nM,Clc1cccc(Nc2[nH]cnc3nnc(-c4ccccc4)c2-3)c1,5.424812155072339,321.078123064,4,2,4.368500000000001,True
1193,CHEMBL523684,3800.0,nM,O=C(/C=C/c1ccc(C(=O)Nc2cccc(Nc3ncc(-c4cccnc4)s3)c2)s1)NO,5.42021640338319,463.077281404,8,4,4.781100000000002,True
1194,CHEMBL1241683,3800.0,nM,CC(C)n1nc(-c2ccc3nc(Cl)ccc3c2)c2c(N)ncnc21,5.42021640338319,338.10467216000006,6,1,3.8580000000000014,True
1195,CHEMBL3582427,3800.0,nM,N#Cc1ccc(-c2cnc3ccc(NCc4ccccc4)nn23)cc1,5.42021640338319,325.1327454800001,5,1,3.8800800000000013,True
1196,CHEMBL292866,3800.0,nM,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,5.42021640338319,368.138559132,6,2,3.9295000000000018,True
1197,CHEMBL13462,4000.0,nM,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,5.3979400086720375,569.25021649,6,5,2.3737999999999992,True
1198,CHEMBL481969,4000.0,nM,O=C(CS(=O)(=O)c1ccc(Cl)cc1)N/N=C/c1cc(C(=O)O)c(Nc2ccc(I)cc2F)c(F)c1F,5.3979400086720375,650.933951888,6,3,4.727700000000002,True
1199,CHEMBL1242203,4000.0,nM,COc1ccc(-c2nn(C3CNC3)c3ncnc(N)c23)cc1O,5.3979400086720375,312.13347375199993,8,3,0.9339999999999995,True
1200,CHEMBL2408499,4080.0,nM,Cc1cccc(NC(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)c1,5.38933983691012,401.126322708,5,2,4.491520000000003,True
1201,CHEMBL1242290,4100.0,nM,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,5.3872161432802645,313.153874848,7,1,2.6736000000000004,True
1202,CHEMBL1242209,4300.0,nM,Cc1ccc2ccc(-c3nn(C(C)C)c4ncnc(N)c34)cc2n1,5.366531544420413,318.159294576,6,1,3.513020000000001,True
1203,CHEMBL1242379,4400.0,nM,COc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1OC,5.356547323513812,327.169524912,7,1,2.8477000000000006,True
1204,CHEMBL492956,4500.0,nM,O=C(/C=C/c1ccc(C(=O)Nc2cccc(Nc3ncc(-c4cccnc4)s3)c2)cc1)NO,5.346787486224656,457.120860468,7,4,4.719600000000003,True
1206,CHEMBL1241439,4500.0,nM,CC(C)n1nc(-c2cc(C=O)co2)c2c(N)ncnc21,5.346787486224656,271.10692465600005,7,1,2.0618999999999996,True
1207,CHEMBL1241859,4500.0,nM,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCNCC1,5.346787486224656,358.13088690800004,7,3,2.4341,True
1208,CHEMBL2070081,4600.0,nM,CCOc1ccc2cc(-c3nn(CC4CCN(C)CC4)c4ncnc(N)c34)ccc2c1.Cl,5.337242168318426,452.2091372280001,7,1,4.391000000000004,True
1209,CHEMBL3823451,4690.0,nM,COc1cc(-c2nn(CCN3CCN(C)CC3)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,5.328827157284916,482.275386948,10,2,2.6785000000000005,True
1214,CHEMBL2071457,4990.0,nM,C[C@H](NC(=O)c1cc(-c2cnn(C3CCOCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,5.30189945437661,477.113458524,6,2,4.815700000000004,True
1215,CHEMBL1241771,5000.0,nM,CC(C)n1nc(-c2ccc(C#N)c(F)c2)c2c(N)ncnc21,5.301029995663981,296.118572636,6,1,2.66718,True
1216,CHEMBL685,5000.0,nM,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,5.301029995663981,295.0956912760001,4,2,2.972200000000001,True
1217,CHEMBL137706,5000.0,nM,CCCCCCN(CCCCCC)C(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(C)C,5.301029995663981,640.3601012859999,6,5,3.8400000000000025,True
1218,CHEMBL1241682,5100.0,nM,Cc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2n1,5.292429823902063,318.159294576,6,1,3.513020000000001,True
1219,CHEMBL56671,5100.0,nM,COC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.292429823902063,306.111675688,6,1,3.0688000000000004,True
1220,CHEMBL1241587,5200.0,nM,CC(C)n1nc(-c2ccc3c(c2)CCO3)c2c(N)ncnc21,5.2839966563652006,295.143310164,6,1,2.5912999999999995,True
1221,CHEMBL3582442,5200.0,nM,OC1CCN(c2cc(-c3cnc4ccc(N5CCC[C@@H]5c5cccc(F)c5)nn34)ccn2)CC1,5.2839966563652006,458.2230377040001,7,1,4.233000000000003,True
1222,CHEMBL4062803,5220.0,nM,Cc1n[nH]c2cc(Nc3nc(NC4CC4)c4occc4n3)ccc12,5.282329496997738,320.138559132,6,3,3.7254200000000015,True
