,molecule_chembl_id,IC50,units,smiles,pIC50
548,CHEMBL536073,12.0,nM,Cc1ccc(NC(=O)c2ccc(CN3CC[C@@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1.Cl,7.920818753952375
549,CHEMBL565609,12.0,nM,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(NC(=O)CCNC(=O)OC(C)(C)C)cc3)nc21,7.920818753952375
550,CHEMBL3901390,12.0,nM,COc1ccc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2NCCCO)cn1,7.920818753952375
551,CHEMBL383010,12.0,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(Br)c2)cc1Nc1nccc(-c2cccnc2)n1,7.920818753952375
552,CHEMBL3907237,12.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(NCCCO)c(-c2cccnc2)c1,7.920818753952375
553,CHEMBL3892952,12.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(NCCCO)c(-c2cncnc2)c1,7.920818753952375
554,CHEMBL1171432,12.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,7.920818753952375
555,CHEMBL3690077,12.0,nM,Cc1ccc(NC(=O)c2ccc3c(c2)CCC3N2CCN(CCO)CC2)cc1Nc1nccc(-c2cccnc2)n1,7.920818753952375
556,CHEMBL3962584,12.0,nM,COc1ncc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)ccc2F)cn1,7.920818753952375
557,CHEMBL1980297,12.0,nM,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,7.920818753952375
558,CHEMBL1784641,12.0,nM,CC(=O)Nc1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)s1,7.920818753952375
559,CHEMBL2178272,12.7,nM,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc(C(F)(F)F)c2)cn1,7.896196279044043
560,CHEMBL3921113,13.0,nM,NC(=O)C1CCN(c2ncc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cc2-c2cncnc2)CC1,7.886056647693163
561,CHEMBL3966024,13.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccc(F)c(-c2cccnc2)c1,7.886056647693163
562,CHEMBL2324931,13.0,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,7.886056647693163
563,CHEMBL3939263,13.0,nM,COc1ccc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1-c1cc[nH]n1,7.886056647693163
564,CHEMBL3936467,13.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccc(O)c(-c2cncnc2)c1,7.886056647693163
565,CHEMBL4110930,13.0,nM,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(NCC[C@@H](O)CO)c(-c2ccn[nH]2)c1,7.886056647693163
566,CHEMBL3908507,13.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccc(N2C[C@H](O)[C@@H](O)C2)c(-c2cccnc2)c1,7.886056647693163
567,CHEMBL3967484,13.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccnc(-c2cncnc2)c1,7.886056647693163
568,CHEMBL570175,13.0,nM,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(I)cc3)nc21,7.886056647693163
569,CHEMBL1169705,13.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,7.886056647693163
570,CHEMBL3935589,13.0,nM,O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccc(Cl)c(-c2cccnc2)c1,7.886056647693163
571,CHEMBL4878274,13.0,nM,Cc1nc(Nc2ncc(C(=O)Nc3c(C)ccnc3C)s2)cc(N2CCN(CCO)CC2)n1,7.886056647693163
572,CHEMBL4113008,13.0,nM,CC(=O)NC[C@H]1CCN(c2ncc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc2-c2cncnc2)C1,7.886056647693163
573,CHEMBL4853083,13.97,nM,Cc1ccncc1-c1cc2sc(NC(=O)[C@@H]3C[C@@H]3F)nc2cc1F.Cl.Cl,7.854803593885818
574,CHEMBL1242377,14.0,nM,CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,7.853871964321762
575,CHEMBL1170077,14.0,nM,Cc1ccc(C(=O)Nc2ccc(CN3CCNCC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,7.853871964321762
576,CHEMBL1172004,14.0,nM,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5cccnn45)c3)cc2C(F)(F)F)CC1,7.853871964321762
577,CHEMBL2177649,14.2,nM,Cc1ccc(C(=O)Nc2ccc(CN3CC[C@@H](N(C)C)C3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,7.847711655616943
578,CHEMBL2347715,14.4,nM,CCNC(=O)Nc1nc2ccc(-c3ccccc3OC)nc2s1,7.84163750790475
579,CHEMBL4865214,14.4,nM,Cc1nc(Nc2ncc(C(=O)Nc3ncccc3C)s2)cc(N2CCN(CCO)CC2)n1,7.84163750790475
